isoform	chrom	junction_number	genomic_start_coord	genomic_end_coord	junction_category
TCONS_00025073	chr19	junction_1	41264693	41268222	known
TCONS_00025073	chr19	junction_2	41268346	41272081	known
TCONS_00025073	chr19	junction_3	41272236	41273981	known
TCONS_00025073	chr19	junction_4	41274056	41276158	known
TCONS_00025073	chr19	junction_5	41276299	41279076	known
TCONS_00025073	chr19	junction_6	41279177	41281162	known
TCONS_00025073	chr19	junction_7	41281276	41292244	known
TCONS_00025073	chr19	junction_8	41292512	41294337	known
TCONS_00025073	chr19	junction_9	41294461	41294557	known
TCONS_00025073	chr19	junction_10	41294687	41301535	known
TCONS_00025073	chr19	junction_11	41301705	41302664	known
TCONS_00025073	chr19	junction_12	41302950	41303971	known
TCONS_00025073	chr19	junction_13	41304262	41305675	known
TCONS_00025073	chr19	junction_14	41305739	41306810	novel
TCONS_00028608	chr2	junction_1	74361637	74362051	known
TCONS_00028608	chr2	junction_2	74362142	74362649	known
TCONS_00028608	chr2	junction_3	74362730	74362993	known
TCONS_00028608	chr2	junction_4	74363178	74363293	known
TCONS_00028608	chr2	junction_5	74363428	74365074	known
TCONS_00028608	chr2	junction_6	74365242	74365514	known
TCONS_00028608	chr2	junction_7	74365658	74365886	novel
TCONS_00028608	chr2	junction_8	74366019	74366243	known
TCONS_00028608	chr2	junction_9	74366376	74366458	known
TCONS_00028608	chr2	junction_10	74366621	74366782	known
TCONS_00028608	chr2	junction_11	74366933	74367044	known
TCONS_00028608	chr2	junction_12	74367108	74367351	known
TCONS_00028608	chr2	junction_13	74367421	74367695	known
TCONS_00028608	chr2	junction_14	74367865	74367970	known
TCONS_00028608	chr2	junction_15	74368132	74368727	known
TCONS_00028608	chr2	junction_16	74368881	74369097	known
TCONS_00028608	chr2	junction_17	74369215	74369299	known
TCONS_00028608	chr2	junction_18	74369492	74369964	known
TCONS_00028608	chr2	junction_19	74370070	74370185	known
TCONS_00028608	chr2	junction_20	74370346	74370465	known
TCONS_00028608	chr2	junction_21	74370545	74370620	known
TCONS_00028608	chr2	junction_22	74370826	74370978	known
TCONS_00028608	chr2	junction_23	74371177	74371536	known
TCONS_00028608	chr2	junction_24	74371729	74377431	known
TCONS_00028608	chr2	junction_25	74377467	74377647	known
TCONS_00028608	chr2	junction_26	74377727	74377999	known
TCONS_00028608	chr2	junction_27	74378246	74391793	known
TCONS_00027031	chr2	junction_1	151410528	151411259	known
TCONS_00027031	chr2	junction_2	151411339	151414822	known
TCONS_00027031	chr2	junction_3	151414920	151416560	known
TCONS_00027031	chr2	junction_4	151416689	151416806	known
TCONS_00027031	chr2	junction_5	151416902	151420189	known
TCONS_00027031	chr2	junction_6	151420380	151422949	known
TCONS_00027031	chr2	junction_7	151423043	151428783	known
TCONS_00027031	chr2	junction_8	151428923	151433076	known
TCONS_00027031	chr2	junction_9	151433229	151435462	known
TCONS_00027031	chr2	junction_10	151435581	151436826	known
TCONS_00027031	chr2	junction_11	151437004	151437240	known
TCONS_00027031	chr2	junction_12	151437352	151438683	known
TCONS_00027031	chr2	junction_13	151438747	151440026	known
TCONS_00027031	chr2	junction_14	151440128	151441904	known
TCONS_00027031	chr2	junction_15	151441968	151443258	novel
TCONS_00027031	chr2	junction_16	151443330	151443528	known
TCONS_00027031	chr2	junction_17	151443710	151445337	known
TCONS_00027031	chr2	junction_18	151445446	151446425	known
TCONS_00027031	chr2	junction_19	151446576	151451605	known
TCONS_00027031	chr2	junction_20	151451706	151454894	known
TCONS_00027031	chr2	junction_21	151455160	151456577	known
TCONS_00027031	chr2	junction_22	151456621	151457760	known
TCONS_00027031	chr2	junction_23	151457964	151458810	known
TCONS_00027031	chr2	junction_24	151458911	151459999	known
TCONS_00031582	chr20	junction_1	4784343	4786230	known
TCONS_00031582	chr20	junction_2	4786329	4787632	known
TCONS_00031582	chr20	junction_3	4787755	4788216	known
TCONS_00031582	chr20	junction_4	4788269	4789595	known
TCONS_00031582	chr20	junction_5	4789698	4790450	known
TCONS_00031582	chr20	junction_6	4790612	4792532	novel
TCONS_00031582	chr20	junction_7	4792628	4795814	known
TCONS_00031582	chr20	junction_8	4795967	4798009	known
TCONS_00031582	chr20	junction_9	4798086	4800971	known
TCONS_00031582	chr20	junction_10	4801063	4822328	known
TCONS_00031582	chr20	junction_11	4822404	4823314	novel
TCONS_00030544	chr20	junction_1	37346256	37347117	novel
TCONS_00030544	chr20	junction_2	37347237	37365203	novel
TCONS_00030544	chr20	junction_3	37365278	37382615	novel
TCONS_00030544	chr20	junction_4	37382787	37384149	known
TCONS_00030544	chr20	junction_5	37384404	37386074	known
TCONS_00030544	chr20	junction_6	37386175	37393894	known
TCONS_00030544	chr20	junction_7	37393994	37394173	known
TCONS_00030544	chr20	junction_8	37394278	37396161	known
TCONS_00030544	chr20	junction_9	37396312	37397698	known
TCONS_00030544	chr20	junction_10	37397855	37400114	known
TCONS_00030544	chr20	junction_11	37400295	37401601	known
TCONS_00030544	chr20	junction_12	37401679	37402434	known
TCONS_00030544	chr20	junction_13	37402589	37402748	known
TCONS_00030544	chr20	junction_14	37402881	37403170	known
TCONS_00030999	chr20	junction_1	52153429	52160122	known
TCONS_00030999	chr20	junction_2	52160375	52164694	known
TCONS_00030999	chr20	junction_3	52164758	52186831	known
TCONS_00030999	chr20	junction_4	52187072	52191590	known
TCONS_00031347	chr20	junction_1	58981370	58986092	known
TCONS_00031347	chr20	junction_2	58986209	58986753	known
TCONS_00031347	chr20	junction_3	58986864	58987707	known
TCONS_00031347	chr20	junction_4	58987818	58988913	known
TCONS_00033832	chr22	junction_1	36318326	36319539	known
TCONS_00033832	chr22	junction_2	36319636	36320219	known
TCONS_00033832	chr22	junction_3	36320364	36320797	known
TCONS_00033832	chr22	junction_4	36320897	36321757	known
TCONS_00033832	chr22	junction_5	36321822	36322428	known
TCONS_00033832	chr22	junction_6	36322522	36326567	known
TCONS_00033832	chr22	junction_7	36326662	36327460	known
TCONS_00033832	chr22	junction_8	36327489	36341369	known
TCONS_00033832	chr22	junction_9	36341527	36348903	known
TCONS_00033832	chr22	junction_10	36349256	36387806	known
TCONS_00033499	chr22	junction_1	36913678	36922035	known
TCONS_00033499	chr22	junction_2	36922284	36923243	known
TCONS_00033499	chr22	junction_3	36923368	36925986	known
TCONS_00033499	chr22	junction_4	36926178	36929401	known
TCONS_00033499	chr22	junction_5	36929560	36929638	known
TCONS_00033499	chr22	junction_6	36929808	36930374	known
TCONS_00033499	chr22	junction_7	36930511	36930672	known
TCONS_00033499	chr22	junction_8	36930831	36932764	known
TCONS_00033499	chr22	junction_9	36932905	36933831	known
TCONS_00033499	chr22	junction_10	36933995	36935350	known
TCONS_00033499	chr22	junction_11	36935442	36935629	known
TCONS_00033499	chr22	junction_12	36935688	36937376	novel
TCONS_00034506	chr3	junction_1	48404591	48405723	known
TCONS_00034506	chr3	junction_2	48405799	48406822	known
TCONS_00034506	chr3	junction_3	48406899	48407026	known
TCONS_00034506	chr3	junction_4	48407092	48409328	known
TCONS_00034506	chr3	junction_5	48409477	48409570	known
TCONS_00034506	chr3	junction_6	48409732	48409904	known
TCONS_00034506	chr3	junction_7	48410078	48410295	known
TCONS_00034506	chr3	junction_8	48410381	48410454	known
TCONS_00034506	chr3	junction_9	48410559	48410867	known
TCONS_00034506	chr3	junction_10	48411037	48411862	known
TCONS_00034506	chr3	junction_11	48412010	48412237	known
TCONS_00034506	chr3	junction_12	48412305	48412441	known
TCONS_00034506	chr3	junction_13	48412621	48412741	known
TCONS_00034506	chr3	junction_14	48412960	48413068	known
TCONS_00034506	chr3	junction_15	48413170	48413669	known
TCONS_00034506	chr3	junction_16	48413819	48413894	known
TCONS_00034506	chr3	junction_17	48414072	48414798	known
TCONS_00034506	chr3	junction_18	48415042	48415175	known
TCONS_00035135	chr3	junction_1	53868863	53869981	known
TCONS_00035135	chr3	junction_2	53870146	53871231	known
TCONS_00035135	chr3	junction_3	53871497	53872383	known
TCONS_00035135	chr3	junction_4	53872525	53873031	known
TCONS_00035135	chr3	junction_5	53873128	53874210	known
TCONS_00035135	chr3	junction_6	53874365	53875947	known
TCONS_00035135	chr3	junction_7	53876081	53876619	known
TCONS_00035135	chr3	junction_8	53876714	53877213	known
TCONS_00035135	chr3	junction_9	53877388	53877646	known
TCONS_00035135	chr3	junction_10	53877752	53878356	known
TCONS_00035135	chr3	junction_11	53878468	53879938	known
TCONS_00035135	chr3	junction_12	53880110	53881978	known
TCONS_00037515	chr4	junction_1	47848337	47851094	known
TCONS_00037515	chr4	junction_2	47851149	47851855	known
TCONS_00037515	chr4	junction_3	47851943	47855058	known
TCONS_00037515	chr4	junction_4	47855164	47862845	known
TCONS_00037515	chr4	junction_5	47862916	47875126	known
TCONS_00037515	chr4	junction_6	47875294	47878524	known
TCONS_00037515	chr4	junction_7	47878666	47879095	known
TCONS_00037515	chr4	junction_8	47879118	47884345	known
TCONS_00037515	chr4	junction_9	47884438	47885497	known
TCONS_00037515	chr4	junction_10	47885658	47885878	known
TCONS_00037515	chr4	junction_11	47886000	47890612	known
TCONS_00037515	chr4	junction_12	47890704	47894179	known
TCONS_00037515	chr4	junction_13	47894303	47896522	known
TCONS_00037515	chr4	junction_14	47896648	47897966	known
TCONS_00037515	chr4	junction_15	47898082	47898756	known
TCONS_00037515	chr4	junction_16	47898858	47898958	known
TCONS_00037515	chr4	junction_17	47899121	47899369	known
TCONS_00037515	chr4	junction_18	47899549	47903192	known
TCONS_00037515	chr4	junction_19	47903324	47905236	known
TCONS_00037515	chr4	junction_20	47905347	47910823	known
TCONS_00037515	chr4	junction_21	47910995	47913968	known
TCONS_00037515	chr4	junction_22	47914206	47914549	known
TCONS_00037074	chr4	junction_1	51843268	51863436	known
TCONS_00037074	chr4	junction_2	51863508	51863669	known
TCONS_00037074	chr4	junction_3	51863710	51874270	known
TCONS_00037074	chr4	junction_4	51874386	51877762	known
TCONS_00037074	chr4	junction_5	51877855	51886567	known
TCONS_00037074	chr4	junction_6	51886639	51891759	known
TCONS_00037074	chr4	junction_7	51891852	51899269	known
TCONS_00037074	chr4	junction_8	51899379	51911069	known
TCONS_00037074	chr4	junction_9	51911175	51913289	known
TCONS_00037074	chr4	junction_10	51913393	51913528	known
TCONS_00038257	chr5	junction_1	7869190	7870769	known
TCONS_00038257	chr5	junction_2	7870924	7873372	known
TCONS_00038257	chr5	junction_3	7873527	7875257	known
TCONS_00038257	chr5	junction_4	7875376	7877943	known
TCONS_00038257	chr5	junction_5	7878323	7883154	known
TCONS_00038257	chr5	junction_6	7883278	7885700	known
TCONS_00038257	chr5	junction_7	7885855	7886614	known
TCONS_00038257	chr5	junction_8	7886704	7889094	known
TCONS_00038257	chr5	junction_9	7889276	7891371	known
TCONS_00038257	chr5	junction_10	7891415	7892726	known
TCONS_00038257	chr5	junction_11	7892914	7895733	known
TCONS_00038257	chr5	junction_12	7895853	7896863	known
TCONS_00038257	chr5	junction_13	7896957	7897064	known
TCONS_00038257	chr5	junction_14	7897248	7899913	known
TCONS_00041658	chr6	junction_1	24840776	24842861	known
TCONS_00041658	chr6	junction_2	24843555	24848024	known
TCONS_00041658	chr6	junction_3	24848155	24849801	known
TCONS_00041658	chr6	junction_4	24849951	24850596	known
TCONS_00041658	chr6	junction_5	24850723	24852574	known
TCONS_00041658	chr6	junction_6	24852619	24860972	known
TCONS_00041658	chr6	junction_7	24861037	24865300	known
TCONS_00041658	chr6	junction_8	24865451	24869093	known
TCONS_00041658	chr6	junction_9	24869148	24870865	known
TCONS_00041658	chr6	junction_10	24870890	24872880	known
TCONS_00041658	chr6	junction_11	24872960	24873643	known
TCONS_00041658	chr6	junction_12	24873800	24875690	known
TCONS_00041658	chr6	junction_13	24875818	24981312	novel
TCONS_00041658	chr6	junction_14	24981349	25004367	novel
TCONS_00041082	chr6	junction_1	130018665	130022226	known
TCONS_00041082	chr6	junction_2	130022306	130042684	known
TCONS_00041082	chr6	junction_3	130042802	130049281	known
TCONS_00041082	chr6	junction_4	130049394	130051248	known
TCONS_00041082	chr6	junction_5	130051409	130052858	known
TCONS_00041082	chr6	junction_6	130052992	130055170	known
TCONS_00041082	chr6	junction_7	130055256	130057405	known
TCONS_00041082	chr6	junction_8	130057498	130060035	known
TCONS_00041082	chr6	junction_9	130060141	130066352	known
TCONS_00041082	chr6	junction_10	130066489	130068329	known
TCONS_00041082	chr6	junction_11	130068422	130070975	known
TCONS_00041082	chr6	junction_12	130071128	130078557	known
TCONS_00041082	chr6	junction_13	130078635	130083619	known
TCONS_00041082	chr6	junction_14	130083706	130086139	known
TCONS_00041082	chr6	junction_15	130086251	130092744	known
TCONS_00041082	chr6	junction_16	130092860	130094264	known
TCONS_00041082	chr6	junction_17	130094368	130104425	known
TCONS_00041082	chr6	junction_18	130104576	130120878	known
TCONS_00041082	chr6	junction_19	130120959	130133451	known
TCONS_00041082	chr6	junction_20	130133622	130133842	known
TCONS_00041082	chr6	junction_21	130133906	130139609	known
TCONS_00043161	chr6_KI270798v1_alt	junction_1	10118	10225	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_2	10344	11065	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_3	11268	12156	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_4	12374	12491	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_5	12662	12806	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_6	12938	13475	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_7	13537	15476	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_8	15735	15966	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_9	16028	16749	novel
TCONS_00043161	chr6_KI270798v1_alt	junction_10	17047	17323	novel
TCONS_00045198	chr7	junction_1	36855752	36861658	known
TCONS_00045198	chr7	junction_2	36861737	36870392	known
TCONS_00045198	chr7	junction_3	36870476	36878009	known
TCONS_00045198	chr7	junction_4	36878118	36887559	known
TCONS_00045198	chr7	junction_5	36887673	36894853	known
TCONS_00045198	chr7	junction_6	36895018	37013298	known
TCONS_00045198	chr7	junction_7	37013436	37096618	known
TCONS_00045198	chr7	junction_8	37096728	37133129	known
TCONS_00045198	chr7	junction_9	37133235	37211385	known
TCONS_00045198	chr7	junction_10	37211518	37213334	known
TCONS_00045198	chr7	junction_11	37213458	37216644	known
TCONS_00045198	chr7	junction_12	37216696	37222614	known
TCONS_00045198	chr7	junction_13	37222694	37224878	known
TCONS_00045198	chr7	junction_14	37225031	37233094	known
TCONS_00045198	chr7	junction_15	37233195	37244355	known
TCONS_00045198	chr7	junction_16	37244392	37259180	known
TCONS_00045198	chr7	junction_17	37259351	37271831	known
TCONS_00045198	chr7	junction_18	37271883	37314849	known
TCONS_00044592	chr7	junction_1	66075857	66076038	known
TCONS_00044592	chr7	junction_2	66077396	66080357	novel
TCONS_00043710	chr7	junction_1	100575305	100575704	known
TCONS_00043710	chr7	junction_2	100575783	100575870	known
TCONS_00043710	chr7	junction_3	100576009	100576237	known
TCONS_00043710	chr7	junction_4	100576324	100576693	known
TCONS_00043710	chr7	junction_5	100576778	100576901	known
TCONS_00043710	chr7	junction_6	100577006	100577085	known
TCONS_00043710	chr7	junction_7	100577155	100577272	known
TCONS_00043710	chr7	junction_8	100577390	100577496	known
TCONS_00043710	chr7	junction_9	100577559	100577663	known
TCONS_00043710	chr7	junction_10	100577741	100577821	known
TCONS_00043710	chr7	junction_11	100577913	100578158	known
TCONS_00043710	chr7	junction_12	100578259	100578398	known
TCONS_00043710	chr7	junction_13	100578512	100578649	known
TCONS_00043710	chr7	junction_14	100578787	100581776	known
TCONS_00043710	chr7	junction_15	100581883	100582040	known
TCONS_00043710	chr7	junction_16	100582168	100582314	known
TCONS_00043710	chr7	junction_17	100582460	100585880	known
TCONS_00043245	chr7	junction_1	135619691	135619789	known
TCONS_00043245	chr7	junction_2	135619889	135622776	known
TCONS_00043245	chr7	junction_3	135622926	135625163	known
TCONS_00043245	chr7	junction_4	135625356	135626239	known
TCONS_00043245	chr7	junction_5	135626362	135627972	known
TCONS_00043245	chr7	junction_6	135628112	135630343	known
TCONS_00043245	chr7	junction_7	135630471	135635580	known
TCONS_00043245	chr7	junction_8	135635658	135637930	known
TCONS_00043245	chr7	junction_9	135638060	135638556	known
TCONS_00043245	chr7	junction_10	135638684	135643191	known
TCONS_00043245	chr7	junction_11	135643359	135644894	known
TCONS_00043245	chr7	junction_12	135645019	135645467	known
TCONS_00043245	chr7	junction_13	135645597	135646157	known
TCONS_00043245	chr7	junction_14	135646232	135648403	known
TCONS_00045008	chr7	junction_1	139451254	139452239	novel
TCONS_00045008	chr7	junction_2	139453708	139454110	known
TCONS_00045008	chr7	junction_3	139454215	139479626	known
TCONS_00045008	chr7	junction_4	139479773	139480145	known
TCONS_00045008	chr7	junction_5	139480248	139482885	known
TCONS_00044681	chr7	junction_1	150370885	150371227	known
TCONS_00046852	chr8	junction_1	38412596	38413917	known
TCONS_00046852	chr8	junction_2	38414024	38414151	known
TCONS_00046852	chr8	junction_3	38414290	38414558	known
TCONS_00046852	chr8	junction_4	38414630	38414778	known
TCONS_00046852	chr8	junction_5	38414902	38415869	known
TCONS_00046852	chr8	junction_6	38416061	38417305	known
TCONS_00046852	chr8	junction_7	38417417	38417869	known
TCONS_00046852	chr8	junction_8	38417992	38418227	known
TCONS_00046852	chr8	junction_9	38418374	38419532	known
TCONS_00046852	chr8	junction_10	38419736	38421796	known
TCONS_00046852	chr8	junction_11	38421942	38424508	known
TCONS_00046852	chr8	junction_12	38424700	38426121	known
TCONS_00046852	chr8	junction_13	38426246	38427920	known
TCONS_00046852	chr8	junction_14	38428094	38428351	known
TCONS_00046460	chr8	junction_1	100920753	100923954	known
TCONS_00046460	chr8	junction_2	100924051	100924134	known
TCONS_00046460	chr8	junction_3	100924299	100924915	known
TCONS_00046460	chr8	junction_4	100925040	100948595	known
TCONS_00046460	chr8	junction_5	100948901	100951928	known
TCONS_00046460	chr8	junction_6	100952129	100952849	novel
TCONS_00049141	chr9	junction_1	3828409	3829309	known
TCONS_00049141	chr9	junction_2	3829493	3856008	known
TCONS_00049141	chr9	junction_3	3856185	3879426	known
TCONS_00049141	chr9	junction_4	3879596	3898690	known
TCONS_00049141	chr9	junction_5	3898836	3932359	known
TCONS_00049141	chr9	junction_6	3932471	3937027	known
TCONS_00049141	chr9	junction_7	3937190	4035837	novel
TCONS_00047428	chr9	junction_1	120818164	120820838	known
TCONS_00047428	chr9	junction_2	120820980	120821354	known
TCONS_00047428	chr9	junction_3	120821465	120824493	known
TCONS_00047428	chr9	junction_4	120824686	120826764	known
TCONS_00047428	chr9	junction_5	120826908	120829098	known
TCONS_00047428	chr9	junction_6	120829209	120831330	known
TCONS_00047428	chr9	junction_7	120831460	120831831	known
TCONS_00047428	chr9	junction_8	120831946	120833311	known
TCONS_00047428	chr9	junction_9	120833457	120842736	known
TCONS_00048825	chr9	junction_1	128987718	128988046	known
TCONS_00048825	chr9	junction_2	128988187	128990119	known
TCONS_00048825	chr9	junction_3	128990227	128993196	known
TCONS_00048825	chr9	junction_4	128993404	128993524	known
TCONS_00048825	chr9	junction_5	128993695	128994372	known
TCONS_00048825	chr9	junction_6	128994443	128994855	known
TCONS_00048825	chr9	junction_7	128994924	128995318	known
